 Text	 Date	 Time
8,05833E+12	24-11-18	16:57:42
8,05833E+12	24-11-18	16:57:16
8,0552E+12	24-11-18	16:56:36
8,0552E+12	24-11-18	16:56:10
8,05833E+12	24-11-18	16:55:42
8,05833E+12	24-11-18	16:55:22
8,05836E+12	24-11-18	16:53:40
8,05726E+12	24-11-18	16:53:09
8,05248E+12	24-11-18	16:52:40
8,05248E+12	24-11-18	16:52:11
8,05248E+12	24-11-18	16:51:50
8,05248E+12	24-11-18	16:51:11
8,05019E+12	24-11-18	16:50:50
8,05248E+12	24-11-18	16:50:06
8,05019E+12	24-11-18	16:49:46
8,05019E+12	24-11-18	16:48:47
8,05833E+12	24-11-18	16:48:22
3,60768E+12	24-11-18	16:47:01
